Date,dAg,dAu
05/08/2010,-0.52,-0.63
06/08/2010,0.99,-0.93
09/08/2010,-1.45,1.04
10/08/2010,0.41,0.79
11/08/2010,-1.05,0.32
12/08/2010,0.88,0.87
13/08/2010,0.88,0.45
16/08/2010,1.37,-0.81
17/08/2010,-0.99,1.13
18/08/2010,0.70,-0.90
19/08/2010,-1.30,0.45
20/08/2010,-1.05,-0.57
23/08/2010,-0.58,1.13
24/08/2010,2.05,-0.20
25/08/2010,1.61,-0.40
26/08/2010,-0.65,0.94
27/08/2010,-0.92,0.20
31/08/2010,1.78,0.40
01/09/2010,-0.32,-0.80
02/09/2010,1.04,0.83
03/09/2010,1.01,0.79
06/09/2010,-1.03,-0.37
07/09/2010,1.37,0.00
08/09/2010,-0.50,-0.82
09/09/2010,-0.59,0.00
10/09/2010,0.00,1.23
13/09/2010,1.44,0.34
14/09/2010,0.80,0.66
15/09/2010,1.25,0.34
16/09/2010,0.66,0.64
17/09/2010,0.54,-0.58
20/09/2010,-0.85,1.20
21/09/2010,1.24,-0.46
22/09/2010,0.00,0.70
23/09/2010,1.13,0.00
24/09/2010,0.94,-0.48
27/09/2010,-1.32,1.02
28/09/2010,1.83,-0.20
29/09/2010,0.96,0.84
30/09/2010,-0.74,-0.46
01/10/2010,0.60,1.14
04/10/2010,0.98,1.10
05/10/2010,1.75,-0.33
06/10/2010,1.42,-0.51
07/10/2010,-2.08,0.86
08/10/2010,2.05,-0.47
11/10/2010,-1.10,1.12
12/10/2010,1.47,0.75
13/10/2010,2.02,-0.65
14/10/2010,-0.53,-0.14
15/10/2010,-1.28,-1.44
18/10/2010,1.00,0.00
19/10/2010,-1.51,0.58
20/10/2010,0.90,-1.25
21/10/2010,-1.89,1.06
22/10/2010,1.69,-0.77
25/10/2010,-0.98,-0.61
26/10/2010,1.11,0.82
27/10/2010,-0.41,1.00
28/10/2010,0.98,0.76
29/10/2010,1.99,-0.51
01/11/2010,-0.85,-0.64
02/11/2010,1.04,1.62
03/11/2010,1.23,1.02
04/11/2010,1.73,-0.71
05/11/2010,1.49,1.53
08/11/2010,2.62,-1.47
09/11/2010,-1.89,0.76
10/11/2010,0.89,-0.85
11/11/2010,-1.86,-1.20
12/11/2010,-1.71,-1.19
15/11/2010,-1.43,-0.92
16/11/2010,-1.05,0.98
17/11/2010,2.33,-0.76
18/11/2010,1.37,1.02
19/11/2010,1.14,1.24
22/11/2010,-0.63,-0.60
23/11/2010,0.61,0.23
24/11/2010,0.33,-1.15
25/11/2010,-1.73,0.38
26/11/2010,0.67,1.40
29/11/2010,1.21,0.38
30/11/2010,2.44,0.50
01/12/2010,-0.91,1.02
02/12/2010,0.92,0.91
03/12/2010,1.73,0.58
06/12/2010,1.74,-1.56
07/12/2010,-2.20,0.64
08/12/2010,-1.45,-1.07
09/12/2010,1.16,1.31
10/12/2010,1.37,-0.57
13/12/2010,1.37,-0.64
14/12/2010,-1.66,-1.36
15/12/2010,0.56,0.64
16/12/2010,-1.13,0.92
17/12/2010,1.22,0.47
20/12/2010,0.37,0.54
21/12/2010,0.58,-0.99
22/12/2010,-0.76,1.69
23/12/2010,2.08,-0.70
29/12/2010,0.92,-1.10
30/12/2010,-0.31,-1.22
04/01/2011,-2.18,0.19
05/01/2011,-0.67,-0.33
06/01/2011,-1.54,0.30
07/01/2011,1.19,0.65
10/01/2011,1.61,0.59
11/01/2011,0.45,0.45
12/01/2011,-1.13,-1.02
13/01/2011,-1.55,-0.69
14/01/2011,-1.08,0.81
17/01/2011,1.46,0.43
18/01/2011,1.36,-1.39
19/01/2011,-1.76,-0.39
20/01/2011,-2.11,-0.19
21/01/2011,1.24,-1.19
24/01/2011,-1.77,0.55
25/01/2011,1.22,0.70
26/01/2011,1.03,-1.08
27/01/2011,-1.61,0.78
28/01/2011,2.00,0.58
31/01/2011,1.43,0.64
01/02/2011,-0.42,-0.82
02/02/2011,0.33,1.43
03/02/2011,1.47,-0.74
04/02/2011,1.02,1.09
07/02/2011,0.85,0.33
08/02/2011,1.65,-0.93
09/02/2011,-1.18,0.89
10/02/2011,0.82,0.27
11/02/2011,0.73,0.75
14/02/2011,1.36,-0.33
15/02/2011,0.40,0.75
16/02/2011,-0.72,0.57
17/02/2011,2.08,1.19
18/02/2011,2.16,-0.38
21/02/2011,-1.27,0.77
22/02/2011,1.10,0.40
23/02/2011,-0.17,-0.80
24/02/2011,-1.49,0.78
25/02/2011,1.71,0.83
28/02/2011,1.62,1.02
01/03/2011,1.05,-0.99
02/03/2011,-0.80,0.62
03/03/2011,-0.54,0.86
04/03/2011,2.51,-0.88
07/03/2011,-0.79,0.58
08/03/2011,-0.74,-1.11
09/03/2011,-1.65,-0.35
10/03/2011,-1.76,0.87
11/03/2011,2.47,-1.24
14/03/2011,-2.52,0.33
15/03/2011,1.58,0.35
16/03/2011,-0.87,1.08
17/03/2011,1.40,0.92
18/03/2011,1.70,-0.65
21/03/2011,-0.76,0.97
22/03/2011,1.32,0.72
23/03/2011,1.81,-0.87
24/03/2011,-0.51,-1.15
25/03/2011,-1.68,0.19
28/03/2011,0.00,0.75
29/03/2011,1.58,0.97
30/03/2011,0.95,-1.21
31/03/2011,-0.80,1.11
01/04/2011,1.49,-0.37
04/04/2011,-0.99,1.40
05/04/2011,2.02,-0.37
06/04/2011,-0.55,0.83
07/04/2011,1.34,-0.32
08/04/2011,1.69,-1.09
11/04/2011,-1.50,0.69
12/04/2011,-0.74,0.75
13/04/2011,1.06,0.87
14/04/2011,2.18,1.05
15/04/2011,0.65,-0.41
18/04/2011,1.00,0.84
19/04/2011,1.91,0.45
20/04/2011,1.81,-0.66
21/04/2011,-1.30,0.95
26/04/2011,-0.63,1.27
27/04/2011,2.74,0.56
28/04/2011,-3.23,0.22
